space_type,space_name,quantity,target_area_sqm,min_area_sqm,max_area_sqm,priority,department,notes,region_id,building_type
bathroom,Bathroom,1,5.0,4.25,5.75,medium,Residential Program,Generated by Archi3D requirements bridge for Hypar spreadsheet upload.,india_mumbai,residential
parking,Parking,1,149.99,127.49,172.49,medium,Residential Program,Generated by Archi3D requirements bridge for Hypar spreadsheet upload.,india_mumbai,residential
